service_id,date,exception_type
142204,20190927,1
142204,20190930,1
142204,20191001,1
142204,20191002,1
142204,20191003,1
142204,20191004,1
142204,20191014,1
142204,20191015,1
142204,20191016,1
142204,20191017,1
142204,20191018,1
142204,20191021,1
142204,20191022,1
142204,20191023,1
142204,20191024,1
142204,20191025,1
142204,20191028,1
142204,20191029,1
142204,20191030,1
142204,20191031,1
142204,20191101,1
142204,20191104,1
142204,20191105,1
142204,20191106,1
142204,20191107,1
142204,20191108,1
142204,20191111,1
142204,20191112,1
142204,20191113,1
142204,20191114,1
142204,20191115,1
142204,20191118,1
142204,20191119,1
142204,20191120,1
142204,20191121,1
142204,20191122,1
142204,20191125,1
142204,20191126,1
142204,20191127,1
150804,20190828,1
150804,20190830,1
150804,20190904,1
150804,20190906,1
150804,20190909,1
150804,20190911,1
150804,20190913,1
150804,20190916,1
150804,20190918,1
150804,20190920,1
150804,20190923,1
150804,20190925,1
150804,20190927,1
150804,20190930,1
150804,20191002,1
150804,20191004,1
150804,20191007,1
150804,20191009,1
150804,20191011,1
150804,20191014,1
150804,20191016,1
150804,20191021,1
150804,20191023,1
150804,20191025,1
150804,20191028,1
150804,20191030,1
150804,20191101,1
150804,20191104,1
150804,20191106,1
150804,20191108,1
150804,20191111,1
150804,20191113,1
150804,20191115,1
150804,20191118,1
150804,20191120,1
150804,20191122,1
150804,20191125,1
150804,20191127,1
210704,20190819,1
210704,20190820,1
210704,20190821,1
210704,20190822,1
210704,20190823,1
210704,20190826,1
210704,20190827,1
210704,20190828,1
210704,20190829,1
210704,20190830,1
210704,20190903,1
210704,20190904,1
210704,20190905,1
210704,20190906,1
210704,20190909,1
210704,20190910,1
210704,20190911,1
210704,20190912,1
210704,20190913,1
210704,20190916,1
210704,20190917,1
210704,20190918,1
210704,20190919,1
210704,20190920,1
210704,20190923,1
210704,20190924,1
210704,20190925,1
210704,20190926,1
210704,20190927,1
210704,20190930,1
210704,20191001,1
210704,20191002,1
210704,20191003,1
210704,20191004,1
210704,20191007,1
210704,20191008,1
210704,20191009,1
210704,20191010,1
210704,20191011,1
210704,20191014,1
210704,20191015,1
210704,20191016,1
210704,20191021,1
210704,20191022,1
210704,20191023,1
210704,20191024,1
210704,20191025,1
210704,20191028,1
210704,20191029,1
210704,20191030,1
210704,20191031,1
210704,20191101,1
210704,20191104,1
210704,20191105,1
210704,20191106,1
210704,20191107,1
210704,20191108,1
210704,20191111,1
210704,20191112,1
210704,20191113,1
210704,20191114,1
210704,20191115,1
210704,20191118,1
210704,20191119,1
210704,20191120,1
210704,20191121,1
210704,20191122,1
276904,20190816,1
276904,20190823,1
276904,20190830,1
276904,20190906,1
276904,20190913,1
276904,20190920,1
276904,20190927,1
276904,20191004,1
276904,20191011,1
276904,20191018,1
276904,20191025,1
276904,20191101,1
276904,20191108,1
276904,20191115,1
276904,20191122,1
340804,20190816,1
340804,20190823,1
340804,20190830,1
340804,20190906,1
340804,20190913,1
340804,20190920,1
340804,20190927,1
340804,20191004,1
340804,20191011,1
340804,20191018,1
340804,20191025,1
340804,20191101,1
340804,20191108,1
340804,20191115,1
340804,20191122,1
340904,20190812,1
340904,20190813,1
340904,20190814,1
340904,20190815,1
340904,20190819,1
340904,20190820,1
340904,20190821,1
340904,20190822,1
340904,20190826,1
340904,20190827,1
340904,20190828,1
340904,20190829,1
340904,20190903,1
340904,20190904,1
340904,20190905,1
340904,20190909,1
340904,20190910,1
340904,20190911,1
340904,20190912,1
340904,20190916,1
340904,20190917,1
340904,20190918,1
340904,20190919,1
340904,20190923,1
340904,20190924,1
340904,20190925,1
340904,20190926,1
340904,20190930,1
340904,20191001,1
340904,20191002,1
340904,20191003,1
340904,20191007,1
340904,20191008,1
340904,20191009,1
340904,20191010,1
340904,20191014,1
340904,20191015,1
340904,20191016,1
340904,20191017,1
340904,20191021,1
340904,20191022,1
340904,20191023,1
340904,20191024,1
340904,20191028,1
340904,20191029,1
340904,20191030,1
340904,20191031,1
340904,20191104,1
340904,20191105,1
340904,20191106,1
340904,20191107,1
340904,20191111,1
340904,20191112,1
340904,20191113,1
340904,20191114,1
340904,20191118,1
340904,20191119,1
340904,20191120,1
340904,20191121,1
340904,20191125,1
340904,20191126,1
340904,20191127,1
