service_id,date,exception_type
16,20190902,1
4,20190902,2
17,20191128,1
4,20191128,2
12,20191129,1
4,20191129,2
207302,20190907,1
207302,20190914,1
207302,20190928,1
207302,20191005,1
207302,20191019,1
207302,20191026,1
207302,20191116,1
504,20190812,1
504,20190813,1
504,20190814,1
504,20190819,1
504,20190820,1
504,20190821,1
504,20190826,1
504,20190827,1
504,20190828,1
504,20190903,1
504,20190904,1
504,20190909,1
504,20190910,1
504,20190911,1
504,20190916,1
504,20190917,1
504,20190918,1
504,20190923,1
504,20190924,1
504,20190925,1
504,20190930,1
504,20191001,1
504,20191002,1
504,20191007,1
504,20191008,1
504,20191009,1
504,20191014,1
504,20191015,1
504,20191016,1
504,20191021,1
504,20191022,1
504,20191023,1
504,20191028,1
504,20191029,1
504,20191030,1
504,20191104,1
504,20191105,1
504,20191106,1
504,20191111,1
504,20191112,1
504,20191113,1
504,20191118,1
504,20191119,1
504,20191120,1
504,20191125,1
504,20191126,1
504,20191127,1
1004,20190819,1
1004,20190820,1
1004,20190821,1
1004,20190822,1
1004,20190823,1
1004,20190827,1
1004,20190828,1
1004,20190829,1
1004,20190830,1
1004,20190903,1
1004,20190904,1
1004,20190905,1
1004,20190906,1
1004,20190910,1
1004,20190911,1
1004,20190912,1
1004,20190913,1
1004,20190917,1
1004,20190918,1
1004,20190919,1
1004,20190920,1
1004,20190924,1
1004,20190925,1
1004,20190926,1
1004,20191001,1
1004,20191002,1
1004,20191003,1
1004,20191004,1
1004,20191008,1
1004,20191009,1
1004,20191010,1
1004,20191011,1
1004,20191015,1
1004,20191016,1
1004,20191022,1
1004,20191023,1
1004,20191024,1
1004,20191025,1
1004,20191029,1
1004,20191030,1
1004,20191031,1
1004,20191101,1
1004,20191105,1
1004,20191106,1
1004,20191107,1
1004,20191108,1
1004,20191112,1
1004,20191113,1
1004,20191114,1
1004,20191115,1
1004,20191119,1
1004,20191120,1
1004,20191121,1
1004,20191122,1
1004,20191126,1
1004,20191127,1
12704,20190812,1
12704,20190813,1
12704,20190814,1
12704,20190815,1
12704,20190816,1
12704,20190819,1
12704,20190826,1
12704,20190913,1
12704,20190920,1
12704,20190927,1
12704,20191004,1
12704,20191011,1
12704,20191018,1
12704,20191025,1
13304,20190826,1
13304,20190827,1
13304,20190828,1
13304,20190829,1
13304,20190830,1
13304,20190903,1
13304,20190904,1
13304,20190905,1
13304,20190906,1
13304,20190909,1
13304,20190910,1
13304,20190911,1
13304,20190912,1
13304,20190913,1
13304,20190916,1
13304,20190917,1
13304,20190918,1
13304,20190919,1
13304,20190920,1
13304,20190923,1
13304,20190924,1
13304,20190925,1
13304,20190926,1
13304,20190927,1
13304,20190930,1
13304,20191001,1
13304,20191002,1
13304,20191003,1
13304,20191004,1
13304,20191007,1
13304,20191008,1
13304,20191009,1
13304,20191010,1
13304,20191011,1
13304,20191014,1
13304,20191015,1
13304,20191016,1
13304,20191017,1
13304,20191021,1
13304,20191022,1
13304,20191023,1
13304,20191024,1
13304,20191025,1
13304,20191028,1
13304,20191029,1
13304,20191030,1
13304,20191031,1
13304,20191101,1
13304,20191104,1
13304,20191105,1
13304,20191106,1
13304,20191107,1
13304,20191108,1
13304,20191111,1
13304,20191112,1
13304,20191113,1
13304,20191114,1
13304,20191115,1
13304,20191118,1
13304,20191119,1
13304,20191120,1
13304,20191121,1
13304,20191122,1
13304,20191125,1
13304,20191126,1
13304,20191127,1
24904,20190812,1
24904,20190813,1
24904,20190814,1
24904,20190815,1
24904,20190816,1
71304,20190816,1
71304,20190913,1
71304,20190920,1
71304,20190927,1
71304,20191004,1
71304,20191011,1
71304,20191018,1
71304,20191025,1
123704,20190826,1
123704,20190909,1
123704,20190916,1
123704,20190923,1
123704,20190930,1
123704,20191007,1
123704,20191014,1
123704,20191021,1
123704,20191028,1
123704,20191104,1
123704,20191111,1
123704,20191118,1
123704,20191125,1
128004,20190812,1
128004,20190813,1
128004,20190814,1
128004,20190815,1
128004,20190819,1
128004,20190820,1
128004,20190821,1
128004,20190822,1
128004,20190826,1
128004,20190827,1
128004,20190828,1
128004,20190829,1
128004,20190903,1
128004,20190904,1
128004,20190905,1
128004,20190909,1
128004,20190910,1
128004,20190911,1
128004,20190912,1
128004,20190916,1
128004,20190917,1
128004,20190918,1
128004,20190919,1
128004,20190923,1
128004,20190924,1
128004,20190925,1
128004,20190926,1
128004,20190930,1
128004,20191001,1
128004,20191002,1
128004,20191003,1
128004,20191007,1
128004,20191008,1
128004,20191009,1
128004,20191010,1
128004,20191014,1
128004,20191015,1
128004,20191016,1
128004,20191017,1
128004,20191021,1
128004,20191022,1
128004,20191023,1
128004,20191024,1
128004,20191028,1
128004,20191029,1
128004,20191030,1
128004,20191031,1
128004,20191104,1
128004,20191105,1
128004,20191106,1
128004,20191107,1
128004,20191111,1
128004,20191112,1
128004,20191113,1
128004,20191114,1
128004,20191118,1
128004,20191119,1
128004,20191120,1
128004,20191121,1
128004,20191125,1
128004,20191126,1
128004,20191127,1
142204,20190819,1
142204,20190820,1
142204,20190821,1
142204,20190822,1
142204,20190823,1
142204,20190826,1
142204,20190827,1
142204,20190828,1
142204,20190829,1
142204,20190830,1
142204,20190903,1
142204,20190904,1
142204,20190905,1
142204,20190906,1
142204,20190909,1
142204,20190910,1
142204,20190911,1
142204,20190912,1
142204,20190913,1
142204,20190916,1
142204,20190917,1
142204,20190918,1
142204,20190919,1
142204,20190920,1
142204,20190923,1
142204,20190924,1
142204,20190925,1
142204,20190926,1
