link_id,Oneway,Speed,DriveTime,Length_Miles,RoadClass,AADT,start_node,end_node,ft,lanes,sl,med,at,terrain,capacity
126221,B,25,0.19665732216,0.0819405509,"11 Other Local, Neighborhood, Rural Roads",NA,130530,130736,Local,1,25,None,Suburban,level,800
126223,B,25,0.20883455688,0.0870143987,"11 Other Local, Neighborhood, Rural Roads",NA,110292,110286,Local,1,25,None,Suburban,level,800
126236,B,25,0.24301100639999998,0.101254586,10 Other Federal Aid Eligible Local Roads,1900,127575,127574,Local,1,25,None,Suburban,level,800
126255,B,25,0.12527061288,0.0521960887,"11 Other Local, Neighborhood, Rural Roads",NA,130777,130424,Local,1,25,None,Suburban,level,800
126264,B,25,0.08838823536000001,0.0368284314,"11 Other Local, Neighborhood, Rural Roads",NA,129284,129285,Local,1,25,None,Suburban,level,800
126271,B,25,0.0798746052,0.0332810855,"11 Other Local, Neighborhood, Rural Roads",NA,131751,131761,Local,1,25,None,Suburban,level,800
126273,B,25,0.15979165272,0.0665798553,"11 Other Local, Neighborhood, Rural Roads",NA,119019,119020,Local,1,25,None,Suburban,level,800
126286,B,25,0.25957238136,0.1081551589,"11 Other Local, Neighborhood, Rural Roads",NA,119544,119599,Local,1,25,None,Suburban,level,800
126295,B,25,0.25294659647999995,0.1053944152,"11 Other Local, Neighborhood, Rural Roads",NA,135584,135698,Local,1,25,None,Suburban,level,800
126302,B,25,0.36279515664,0.1511646486,10 Other Federal Aid Eligible Local Roads,9100,133377,133691,Local,1,25,None,Suburban,level,800
126304,B,25,0.38276035055999996,0.1594834794,10 Other Federal Aid Eligible Local Roads,12000,128429,128522,Local,1,25,None,Suburban,level,800
126321,B,25,0.033554365440000004,0.0139809856,"11 Other Local, Neighborhood, Rural Roads",NA,134114,134375,Local,1,25,None,Suburban,level,800
126327,B,25,0.11483555832,0.0478481493,"11 Other Local, Neighborhood, Rural Roads",NA,110708,110707,Local,1,25,None,Suburban,level,800
126346,B,25,0.2412297096,0.100512379,"11 Other Local, Neighborhood, Rural Roads",NA,125101,124964,Local,1,25,None,Suburban,level,800
126347,B,25,0.30786912863999993,0.1282788036,"11 Other Local, Neighborhood, Rural Roads",NA,122593,122696,Local,1,25,None,Suburban,level,800
126348,B,25,0.09660350832,0.0402514618,"11 Other Local, Neighborhood, Rural Roads",NA,127947,127941,Local,1,25,None,Suburban,level,800
126356,B,25,0.28693711392,0.1195571308,10 Other Federal Aid Eligible Local Roads,4200,121076,121010,Local,1,25,None,Suburban,level,800
126357,B,25,0.027024881279999996,0.0112603672,"11 Other Local, Neighborhood, Rural Roads",NA,126396,126073,Local,1,25,None,Suburban,level,800
126363,B,25,0.20280265775999998,0.0845011074,"11 Other Local, Neighborhood, Rural Roads",NA,131754,131779,Local,1,25,None,Suburban,level,800
